Headless Horseman	Will-o-wisp	Foal	Yes
Burning helm	Knight	Foal	No
Lion	Burning helm	Knight	No
Page squire	Royal guard	Salt-rimed fin	No
Gothic architecture	Knight	Black pearl	No
Loch Ness Monster	Deep sea predator	Knight	Yes
Cherub	Guardian angel	Halo	Yes
Seraphim	Six-winged angel	Silvered blade	Yes
Aurora borealis	Crowned seraph	Mercy verdict	Yes
Sheep	Barometz	Potted plant	Yes
Sheep	Barometz	Glazed urn	Yes
Wish	Dandelion seed	Fae	Yes
Wendigo lure	Living branches	Lonely mimic	Yes
Cosmic king	Planet body	Sun crown	No
Janus	Garden serpent	Dual-faced trickster	Yes
Sokushinbutsu monk	Inner stillness	Hollow vessel	Yes
Gnome	Hidden folk	Mushroom cap	Yes
Forest spirit	Fairy ring	Red petals	Yes
Chupacabra	Hare	Cattle predator	Yes
Frog	Brothers Grimm Frog Prince	Lily pad	Yes
Frog	Brothers Grimm	Crown	Yes
Walking thicket	Forest guardian	Sapling shepherd	No
Spider	Anansi	Clay pot	Yes
Morning dew	Water spirit	Leaf droplet	No
Spider	Anansi	Pot of Wisdom	Yes
Moth larva	Stardust	Caterpillar	No
Luna moth	Lantern	Will-o-wisp	Yes
Mossy boulder	Slow traveler	Ancient memory	No
Kitsune	Wind fox	Whisper trader	Yes
Kitsune	Wind tunnel	Swift fox	Yes
Bioluminescent mushroom	Mana feeder	Glowing cap	No
Salamander	Cooling lava	Crystalline scales	No
Fire serpent	Salamander	Volcanic spine	No
Lava sprite	Volcano keeper	Hard worker	Yes
Ninja monkey	Smoldering bandages	Rooftop shadow	No
Sun Wukong	Monkey King	Fire warrior	Yes
Loyal hound	Wildfire survivor	Ash dog	No
Hellhound	Faithful dog	Smoldering fur	Yes
Fenrir	Fallen star	Eternal flame	Yes
Rain puddle	Reflection swallower	Forgotten place	No
Narcissus	Still water	Reflection	Yes
Crystallized tears	Lonely fish	Empathy spirit	No
Babbling brook	Water spirit	Playful stream	No
River confluence	Water judge	Mediator spirit	No
Sea consciousness	River mouth	Mourning tide	No
Jellyfish	Air bubble	Tide pool drifter	No
Drowned sailor	Sea spirit	Ghost jellyfish	Yes
Living reef	Mobile ecosystem	Coastal shrine	No
Dust mote	Lost traveler	Forgotten path	No
Wind beast	Slamming doors	Solidified breeze	No
Hollow wind	Peripheral vision	Aeolian sound	No
Dandelion puff	First breath	Seed spirit	No
Zephyr	Whisper rider	Aspiring tempest	Yes
Cyclone	Sentient tornado	Spinning vortex	No
Zeus	Storm sovereign	Hurricane	Yes
Patchwork bird	Borrowed flight	Collective memory	No
Phoenix	Feather trail	Weather omen	Yes
Tornado	Living spiral	Confused wind	No
Lightning strike	Lonely spark	Doomed touch	No
Stolen memories	Lightning web	Storm consciousness	No
Heartbeat	Time stutter	Liminal moment	No
Static electricity	Frustration	Broken machines	No
Squirrel	Static fur	Lonely shocker	No
Lion	Storm mane	Contained power	No
Electric eel	Land explorer	Curious fish	No
Lightning ghost	Wandering spirit	St. Elmo's fire	Yes
Circuit board	Electric current	Digital spirit	No
First footprint	Soil spirit	Walking root	No
Cavern	Stalactite teeth	Ambush predator	No
Living mountain	Megalith	2001 monolith	No
Debris poltergeist	Broken things	Repair spirit	Yes
Rolling pebble	Hermit crab	Cozy spaces	No
Sisyphus stone	Rolling boulder	Wandering sage	Yes
Bear cub	Living stone	Earth play	No
Crystal cavern	Singing stone	Earth music	No
Desert turtle	Sandstorm	Living dunes	No
Cyclops	Stone vision	Forgotten guardian	Yes
First winter	Ice shard	Stillness	No
Banshee	Frozen last words	Hypothermia	Yes
Heat death	Dying star	Patient inevitability	No
Cold seep	Bone chill	Ice shard	No
Snowflake	Individuality	Microcosm	No
Blizzard	Snowflake collective	Walking snowstorm	No
Icicle	Ice predator	Camouflage hunter	No
Frozen breath	Ice crystals	Whispered words	No
Hedgehog	Ice horns	Gentle giant	No
Walking glacier	Mobile biome	Iceberg	No
Wandering seed	Dandelion	Lost potential	No
Strangler vine	Forgotten god	Memory thorns	Yes
Yggdrasil	Forest deity	Tree rings	Yes
Confessional moss	Secret keeper	Whispering grove	No
Pollen	Bumblebee	Sneeze	No
Flower knight	Garden warden	Pollen armor	No
